item;descricao;barras;referencia;preco;precominimo;quantidadeEstoque;parceiro
10001;CADERNETA DE BOLSO;18572;18572;16.83;15.15;0;0
10004;TRATOR CAÇAMBA;7896838804186;417;51.69;46.52;0;0
10006;BUQUE MINI ROSAS BEAUTY OUTONO;7893979237279;16056-001;4.13;3.72;0;0
10007;ABC 72 PÇS EM MADEIRAS;7896640452667;5266.5;33;29.7;0;172
10009;KIT MANICURE BOLSA;;20174;19.75;17.78;0;0
20409;PICK UP POLICIA;7898179820443;406;59.75;53.77;0;38
10013;CARRO COM MECANISMO HATCHBACKS;7898486485151;3461;55;49.5;0;0
10018;JOGO DE BOLICHE DA BARBIE;7898125112387;238;64.9;58.41;0;1110
10019;PISCINA COM BONECA;7896838805527;552;79.2;71.28;0;0
10021;RETROESCAVADEIRA;7896838804124;412;20.79;18.71;0;0
10022;ABAJUR PARA LEITURA DANA P;7898280747387;738;76.89;69.2;0;0
10023;CAÇAMBA E CARREGADEIRA;7896838804056;405;27.39;24.65;0;0
10026;LIXEIRA 12 L INOX COM PEDAL;;LIX2348;130;117;0;5213
10027;CARRETA E RETROESCAVADEIRA;7896838803424;342;39.49;35.54;0;0
10028;ROSA TOQUE REAL AMARELA 68 CM;7893979844156;08010-004;40;36;0;12212
10029;TRATOR COM REBOQUE;7896838804100;410;38.83;34.95;0;0
10031;KIT PARA COZINHA 5 PÇS MY LOVELY;7891112244535;27899/082;377.7;339.93;0;5932
10034;ABAJUR PARA LEITURA FLEX COM BASE;7898280744195;419;150;135;0;4975
10038;CARRETA TRANSPORT;7896838803400;340;37.95;34.16;0;0
10043;TANQUE BOMBEIRO;7896838803523;352;21.99;19.79;0;0
10044;BARBIE ENCONTRO COM NAMORADO;746775269623;V8701;76.89;69.2;0;0
10045;LUMINARIA DE MESA VITTA;7898419473200;110030001;98.89;89;0;0
10046;ANDADOR DIDATICO 3 EM 1;7898179822348;908;189.9;170.91;0;38
10047;LUMINARIA DE MESA PRINCESAS;7898292026913;110280001;90.2;81.18;0;0
10048;CAÇAMBA TRANSPORT;7896838803318;331;17.49;15.74;0;0
18451;MINI MECHANIC;7898179821228;465;200;180;0;13287
20411;COPO TERMICO ONCINHA PINK;7898458092974;;49;44.1;0;0
10049;CAMINHAO DE FERRAMENTAS;7839180661717;7504-9;120;108;0;3237
10050;ABAJUR FADAS COM GAVETAS;7898419468091;110450035;143;128.7;0;0
10051;BARBIE TAFFY TRAVESSURAS COM CACHORRINHO;746775302382;BDH74;151.8;136.62;0;5217
10053;CONJUNTO 2 TAÇAS CERVEJA MELHOR COMPANHIA;;23810;55.5;49.95;0;0
10055;VASO DE METAL GARDEN 18 CM;7893979354105;25982-001;36.19;32.57;0;0
10057;ORQUIDEA CYMBIDIUM VERMELHO COM VASO PRETO 52 CM;7893979339607;25509-001;76.89;69.2;0;0
10058;PISCA PISCA 100 LAMPADAS LED VERDE;7890880207445;15497;20.57;18.51;0;0
10059;COMBUSTIVEL DUPLO;7896838803028;302;36.85;33.17;0;0
10061;NERF ROUGH CUT 2X4;5010994711986;A3844;188.8;169.92;0;4820
10062;MAQUINA DE COSTURA MINIATURA;7893220123023;15456;138.6;124.74;0;0
10063;ABELHA DIDÁTICA;7898179820566;845;70;63;0;13287
17951;ESCORREDOR DE LOUÇA AÇO INOX;7891116068137;61530/010;315.7;284.13;0;87
10068;BUQUE DE MINI ROSAS VERMELHO 29 CM;7893979237217;16055-008;5.39;4.85;0;0
10070;PORTA PAPEL LIVRO ONCINHA SUPER AMIGA;7899061053253;4159;19.69;17.72;0;5190
10073;ABRIDOR DE GARRAFA COM DEPOSITO;;513007;40;36;0;10542
10076;ABC ANIMADO;7891219017049;1704;50;45;2;10916
10077;KIT PARA BANHEIRO 3 PÇS;7899525607596;751;64.9;58.41;0;4340
10078;BUQUE DE MARGARIDA LAVANDA 2 TONS 32 CM;7893979337672;25402-005;3.52;3.17;0;0
10080;ROUPA BARBIE;887961154504;CMR78;22;19.8;0;5217
10081;ACQUA BRINK;7894298080003;8000;75.9;68.31;0;0
10082;LEGO A CASA DE CAMPO 3 EM 1;5702014971523;31009;156.86;141.17;0;0
10083;KITCHEN COMIDINHA;7896200706216;621;27.39;24.65;0;0
10084;ACTIVITY HOUSE CASINHA CRIATIVA;7898179821914;724;75;67.5;0;38
20412;CONJUNTO DE CHA CORUJAS;7898458100945;;109.5;98.55;0;0
10090;AÇUCAREIRO INOX;7891116000625;64400/500;100;90;0;87
10091;SKATE COM ACESSORIOS MAX STEEL;5019702005430;640.9;128.78;115.9;0;0
10096;AÇUCAREIRO - C/ COLHER 350 G ATINA SE;7896502802432;;88.8;79.92;0;194
10101;AÇUCAREIRO  VITÓRIA DEC. 0397;7891259579378;2003-5;50;45;0;0
10102;AÇUCAREIRO  ELIZABETH DEC 622;7891259318861;622;42.9;38.61;0;0
10103;LANCHA COM CONTROLE REMOTO;7898486480613;3013;359.5;323.55;0;5957
10104;ADAPTADOR INFANTIL P/ VASO SANITÁRIO TURMA MÔNICA;7896448161808;835;56.7;51.03;0;0
10105;COMBUSTIVEL TRANSPORT;7896838803011;301;21.89;19.7;0;0
10106;EU BRINCO DE CASINHA ESCORREDORZINHO;7896200706063;606;35.09;31.58;0;0
10107;MONSTER HIGH SKELITA AULA DE ARTE;746775299545;BDF14;108.44;97.6;0;4320
10109;ALBUM 100 FOTOS 10X15 CM LOVE;7893220166310;18487;47.3;42.57;0;0
10110;BUQUE DE CAMELIA ROSA CRAQUEADO;7893979331502;25243-002;13.2;11.88;0;0
10111;PISCA PISCA 20 LEDS ESTRELA;7890880209876;15742;20.85;18.77;0;0
10112;PORTA RETRATO 10 X 15 CM COURINO;7893220166327;18489;29.7;26.73;0;0
10114;ALBUM 96  FOTOS 10X15 CM BICICLETA;7893220166334;18490;35.2;31.68;0;0
10115;VASO COM BOCA PEQUENO PRETO;7897900829816;2981;88.8;79.92;0;0
10116;ALBUM 60 FOTOS 10X15 CM COURINO PRETO;7893220166426;18499;38.5;34.65;0;0
10117;TIGELA DE COMIDA PET;7898458087246;;27.5;24.75;0;0
10118;ALBUM BEBE 104 FOTOS 10X15;7893220166112;18467;53.9;48.51;0;0
10119;HEADS COM CABELO;7899525202791;20279;7.69;6.92;0;0
20413;COFRE CAMERA RETRO;7898458095715;;82;73.8;0;0
10123;BICO DE PAPAGAIO VERMELHO COM GLITER;7890880173627;12954;3.29;2.96;0;0
10124;ALBUM DE TECIDO 96 FOTOS 10X15 CM;7893220166396;18496;42.9;38.61;0;0
10129;ALMOFADA KISS;7899525623497;2349;46.53;41.88;0;0
10138;URSO FORMANDO;7890880168975;12791-001;45.1;40.59;0;0
10139;FAQUEIRO 76 PÇS AÇO INOX LAGUNA CAIXA DE MADEIRA;7891116048375;66906/300;537.9;484.11;0;87
10140;AMPOLA 1.8 LT;7891023006017;601;65;58.5;0;223
10141;LEGO NINJAGO 7 A 14 ANOS PERFURADORA DE TERRA;5702014972896;70502;142.89;128.6;0;0
20414;CANECA EMPILHAVEIS CORUJA;7898458100907;;69;62.1;0;0
10146;AMPOLA 1LT;7891023005201;520;33.25;29.93;0;223
10149;ANDADOR FELIZ CACHORRO;7898179821075;904;150;135;0;13287
20415;AMPLIFICADOR BLOCO PRETO;7898458088328;;50;45;0;0
10152;POLLY ESPORTES SORTIDO;746775065492;W6308;27.5;24.75;0;0
10155;COPO SUPER PAI 200 ML;7899061052829;4116;16.5;14.85;0;0
10156;LAÇO DOURADO COM GLITER;7890880173191;12943;3.29;2.96;0;0
10157;BORBOLETA DOURADA;7890880176659;13132;2.97;2.67;0;0
10159;CRIA MIX TURMA DA MONICA MONICA E MAGALI;7896448189505;895;86.9;78.21;0;159
10163;JOGO DE PANELAS 10 PÇS PARIS BORDO;;20598/717;450;405;0;5932
10167;ARRISCA TUDO;7896200750226;5022;41.69;37.52;0;0
10168;APRENDENDO AS VOGAIS;7891219024399;2439;35;31.5;0;10916
10169;VASO DE METAL OVAL MEDIO;;18355-001;22;19.8;0;0
10172;PORTA RETRATO 10 X 15 VIDRO FORMATURA;7898458085396;;28.6;25.74;0;0
10174;UNO DA BARBIE;746775278748;;10.99;9.89;0;0
10175;TRANSFORÇA GUARDIÃO;7896640405823;582.1;130;117;0;172
10179;ASSADEIRA COM GRELHA;7893220173639;18814;64.9;58.41;0;0
10181;FACILITA COM TAMPA 300 ML;7894993108293;SM400.0729.00;17.78;16;9;218
10182;ASSADEIRA C/ GRELHA STARFLON;7891112031494;20054/034;152.9;137.61;0;0
20416;PORTA RETRATO ONCINHA PINK;7898458090826;;89;80.1;0;0
10185;CAÇAROLA RASA 24 CM SOLAR;7891116000960;62503/240;385;346.5;2;87
10187;ASSADEIRA OVAL MÉDIA  3.2L;49932666243;6662.01;46.44;41.8;0;0
10188;ASSADEIRA OVAL 2.4 L COM TAMPA;49932634525;6345.25-9;60;54;0;218
10189;ASSADEIRA OVAL MÉDIA COM TAMPA 3.2 L;49932666281;6662.25-3;65;58.5;0;218
10194;ASSADEIRA REDONDA 2.4L COM TAMPA;49932649581;6495.06;77.78;70;1;218
10195;ASSADEIRA REDONDA 2.4 L;49932649543;6495.06-3;33;29.7;0;0
10196;LAZANHEIRA COM TAMPA;7894993171907;6538.26.5;75;67.5;1;218
14985;LAPTOP APRENDER E BRINCAR;27084994834;V7010;218.9;197.01;0;0
10197;ASSADEIRA QUADRADA FUNDA 3.8 L PREDILETTA;7894993129502;GDI.6224.41-9;47;42.3;0;0
10198;LAZANHEIRA 5.25L;49932653847;6538.41-4;50;45;0;218
10199;ASSADEIRA RETANGULAR GRANDE 2.9 L;49932653649;6536.41;47.78;43;0;218
10202;DOCERIA ANIMADA;7898179822423;726;46.65;41.98;0;38
10207;AERADOR DE VINHO DE  ACRILICO;7893220116629;20384;88.78;79.9;0;5550
10208;COZI VAPORE STARFLON Nº 20 TAMPA DE VIDRO;;8215;82.5;74.25;0;0
10209;BONECO JUQUINHA M;7898480113074;1307;68.2;61.38;0;0
10211;BABY DINHO EM SACOLA;7898179821297;716;40;36;0;13287
10214;BABY GYM MENINO;7898179820856;901;111;99.9;0;38
10222;CANECO CAMPAINHA TOQUE DE ENCHER;;26205;50;45;0;0
10232;PORTA PAO;7896042056104;5610;44;39.6;1;218
10236;PRATO RASO PETALA VIDRO TEMPERADO;7891155037873;22211;11;9.9;0;218
18190;CENTRO DE MESA TREVISO;;2507;155;139.5;0;0
10238;BUQUE MINI ROSAS LAVANDA OUTONO 23 CM;7893979237316;16056-005;3.74;3.37;0;0
10241;CONJUNTO DE BAIXELAS 6 PÇS MARESIAS;7891116077900;64330/100;102.3;92.07;0;0
10244;OMELETEIRA Nº 20;7891112121676;20123/020;70;63;0;5932
10246;PLAY TIME MESA DE ATIVIDADES;7896964619500;1950;110;99;0;6065
10248;TRANÇADOR MONSTER HIGH;4893825023363;BBHL2;93.5;84.15;0;0
10250;BALANÇO GIRAFINHA EM MADEIRA;7897858312835;202;55;49.5;0;5273
10251;BALANÇO JUNGES;;101;66.66;59.99;0;14487
10253;COLEÇÃO FRUTINHAS MAIOR LIMAO;7896964618251;1825;64.9;58.41;0;149
10254;BALDE DIDATICO COM 48 PÇS;7898213987200;720;40;36;0;0
10257;BALDE DE CERVEJA CARRY ON;;1132;105;94.5;0;4975
10258;COPO PEPSI COLA 350 ML;7893220149801;56740;9.35;8.42;0;0
10259;REFIL PARA PERFUME AMBIENTE VIOLETA E LAVANDA 500 ML;;6406;37.78;34;0;0
10260;CASINHA DE ATIVIDADES GALINHA PINTADINHA;7896448187808;878;105;94.5;0;159
10262;BALDE DE CERVEJA HOLLYWOOD;;449;82;73.8;0;0
10264;CHAMPANHEIRA AÇO INOX P/ 3 GARRAFAS;7897217859049;5904;220;198;0;220
10266;IMAGINEXT SKYRACERS TURBONAVES;746775366285;BBL10;141.9;127.71;0;0
10269;COPO CANUDO COM ACESSORIO NEW YORK;;23228;30;27;0;0
10270;BALDINHO DE PRAIA;7896640433611;385.4;22;19.8;0;172
10271;CONJUNTO DE UTENSILIOS INOX 6PÇS SPECIALE;7891112096127;25799/003;220;198;0;0
10273;BUQUE DE MARGARIDA  AMARELO 35 CM;7893979340719;25586-004;11;9.9;0;4960
10275;SULLEY DISNEY PIXAR;7891219029035;2903;66;59.4;0;0
10277;BANCO IMOBILIARIO;7896027531688;;144;129.6;3;655
10278;BANCO IMOBILIARIO LUXO;7896027532098;;117.7;105.93;0;0
10282;BANDEJA DE MADEIRA BOUTIQUE DE AROMAS;;3083;43.78;39.4;0;5740
10286;BANDEJA  INOX COM ALÇA 28 X 40 CM LINHA ATINA;7896502802524;1421/140;99.85;89.86;0;194
10291;BANDEJA DE METAL  BW;;1540;110;99;0;0
10294;BANDEJA TABLET - JOANINHA;;21817;45;40.5;0;0
10295;PANELA 16 CM;;62651/160;105;94.5;0;87
10303;BANDEJA INOX RETANGULAR BUENA;7891116078693;61712/480;120;108;1;87
10305;BANDEJA PARA CAFÉ SMALL;7897746205140;91390/108;33;29.7;8;4869
10306;PORTA RETRATO DE MADEIRA BOUTIQUE DE AROMAS;7898559311820;3096;39.6;35.64;0;0
10307;CONJUNTO 6 COPOS MINI BRAMINHA;;710910;110;99;4;5160
10312;BANDEJA PARA SUSHI;7893220145582;17742;27.5;24.75;0;0
10313;CAÇAROLA 24 CM RASA ALLEGRA;;62653/240;237.78;214;0;87
10314;JOGO DE PISTOLA COM VENTOSA PEQUENO;7907631018189;818;30.69;27.62;0;0
10318;BANDEJA RETANGULAR LINHA CICLO;7891116056936;61529/420;120;108;0;87
10320;BANDEJA TABLET UATTARI;;21829;45;40.5;0;0
10323;BEBE AROMA MORANGO;7896965252270;5227;28.5;25.65;0;0
10324;BUQUE DE ROSA VERMELHO COM CREME 33 CM;7893979368447;17976-001;11.55;10.4;0;0
10326;COPO CANUDO COM ACESSORIO PARIS;;23226;30;27;0;0
10327;VASO DE METAL CORUJA 18 CM;7893979354136;25982-002;36.19;32.57;0;0
10328;QUEBRA - CABEÇA 3000 PÇS LOBOS;7891219027284;2728;118.25;106.43;0;0
10329;RUMMIKUB;7891219020902;2090;233;209.7;0;10916
10330;MY STYLE STAR;7898476329403;BR125;18.59;16.73;0;0
10331;UNO ORIGINAL;27084216332;H1558;25;22.5;1;13917
10332;PAPAI NOEL NO TRENO;7890880171319;12843;38.28;34.45;0;0
10334;HOT WHEELS FURIA DO DRAGAO;887961384154;DWL04;218.78;196.9;0;5217
10336;IMAGINEXT PIRANHA SUBMARINO;746775092092;W9561;232.1;208.89;0;0
10337;BRINCANDO DE MOTORISTA;7896027534504;;78.1;70.29;0;0
10338;BARBIE BAILARINA;;GJL58;72;64.8;2;5217
10339;KEN NOIVO;;CFF38;95;85.5;0;3237
18046;BOLA VELA OCEAN BRANCO MEDIO;7897900818353;1835;35;31.5;0;0
10340;BARBIE COM ANEL DE MENINA;27084930733;T7584;55;49.5;0;5217
10341;BARBIE FASHION;27084929539;T7439;55;49.5;3;5217
10343;MAX STEEL ARMADURA SECRETA;746775194840;Y1529;151.69;136.52;0;0
10344;KIT DE MIÇANGAS DA BARBIE 100 PÇS;;B1942;110;99;0;5217
10345;BARBIE DUPLA DE IRMÃS;746775242879;X8411;97.9;88.11;0;0
10347;PRINCESA DISNEY;887961053890;CFB82;77.67;69.9;0;5217
10348;BARBIE PRAIA;;GHH38;50;45;0;5217
10349;MONSTER HIGH GASTRONOMIA;746775359454;BJM17;105.6;95.04;0;0
18198;BERÇO CASINHA FLOR;7896640404796;479.8;152.9;137.61;0;172
10350;BARBIE SKIPPER COM CAVALO;746775242947;Y7563;177.1;159.39;0;0
10354;REFIL DE VESTIDOS;746775167219;BBY95;58.3;52.47;0;0
10355;BARBIE MAQUINA DE MODAS;746775330996;BGW;175.89;158.3;0;0
10356;MINI CHEF ROSA;;316;93.5;84.15;0;0
10357;MORDEDOR 2 SAPINHOS;746775234485;Y6577;47.3;42.57;0;0
10358;CONJUNTO 4 COPOS CAMPANA CAVEIRA;7898198772372;1686;44.33;39.9;0;5160
10359;BARRACA PRINCESA SOFIA;7896639660066;6006;159.9;143.91;0;13
10360;EXPLOSAO;7896027541212;;70.35;63.32;0;0
10361;BATE BOLINHO DAS PRINCESAS;7898125115739;573;22;19.8;0;1110
10373;BEBE BOLOFOS;7896964616301;1630;117.7;105.93;0;0
10374;BERÇO PARA BONECA NINOS;7896964616714;2214;140;126;0;6065
10377;BEBE AROMA UVA;7896965252287;5228;28.5;25.65;0;0
10378;CADE MEU URSINHO;7896964619685;1968;141.79;127.61;0;0
10379;WINX FADA;7896964619616;1961;105.6;95.04;0;0
10380;BIG BLOCK PÇS;7896027531008;;92;82.8;4;655
10384;BONECA  FALA BEBÊ;7897547702725;272;108.78;97.9;0;4980
10390;BEBE AROMAS TUTTI FRUTTI;7896965252294;5229;28.5;25.65;0;0
10393;CAPITÃO AMERICA DE PELUCIA;7899525625088;2508;91.85;82.67;0;0
10396;CACHORRINHO SHNAUZER;7899525628621;2862;79.99;71.99;0;4340
10400;HEADPHONE TURISTA CHIC;7898458071146;;42.9;38.61;0;0
10401;RABO DE RAPOSA GALHO  94 CM;7893979452023;01520-003;7.69;6.92;0;0
10402;BICHINHOS DE  BANHO MAR/AQUATICO;7899525620953;4647;55;49.5;4;4340
10410;TRICICLO ROSA DA GATINHA;;221;354.75;319.28;0;0
10415;GALHO 3 ROSAS AMARELO;7893979503459;27207-003;27.78;25;0;6309
10416;BONECO SUPER HOMEM GIGANTE;7899091480968;8096;220;198;0;0
10419;CONJUNTO 6 COPOS TUBO BEER;;712209;117.7;105.93;0;0
10420;BINGO 75 PEDRAS EM MADEIRA;7896640452902;5290.9;31.9;28.71;0;172
10421;MINI SCOOTY;7898179821525;916;110;99;2;38
10425;PAINEL DE ATIVIDADES;7896448186801;1025;88.78;79.9;0;159
19875;IMAGINEXT SORTIMENTO ESPACIAL;746775313999;BFT11;77;69.3;0;0
10433;BOIA DE BRAÇO BATMAN;;84184;20;18;0;3237
10438;BOLA DE VINIL NA CX PEPPA PIG;7899455902648;2264;16.5;14.85;0;1110
10439;BOLA DE FUTEBOL CBF;7898486483171;3262;40;36;0;5957
10441;COLEÇÃO CARROS DE VINIL;7898125116293;629;65;58.5;4;1110
14758;MOBILE SAFARI DOS SONHOS;7898578200938;817;117.7;105.93;0;0
10444;COFRE CORUJA COM PERNAS;7898458090048;;58.85;52.97;0;0
10446;CAÇAMBA;7898125113933;393;50;45;0;1110
10447;JOGO DE ARGOLAS GALINHA PINTADINHA;7899455900804;2080;59.07;53.16;0;0
10448;EDUCADEIRA BLOCOS BUBU;7899455907131;2713;75;67.5;0;0
10449;GO GO BALL SPIDER-MAN 3;7898125113612;361;150;135;0;1110
10450;CAIXA ORGANIZADORA BARBIE GRANDE;7896744870701;BB7070;40.37;36.33;0;0
10452;SKATE 4 RODAS COM LIXA MENINO;7896640464073;640.7;100;90;0;172
10455;BOLA DE NATAL 20 CM VERMELHA;7890880201245;15153;28.6;25.74;0;0
10457;BOX DELUXE 3 QUEBRA CABEÇA 1750 PÇS;7896054018374;1837;54.89;49.4;0;0
10460;COPO CANUDO DIA INCRIVEL;;24582;50;45;0;0
10462;BRUTALE BETONEIRA;7896965215350;1535;70;63;0;170
10464;IMAGEM E AÇAO JUNIOR LOUSA MAGICA;7891219025907;2590;110;99;0;10916
10465;MINI COPO CANUDO BUBU;;23656;46.44;41.8;0;0
10468;BARBIE PORTAL SECRETO;887961022742;CCF72;123.2;110.88;0;0
10471;IMAGINEXT ESTAÇÃO ESPACIAL;887961006759;CBH74;236.5;212.85;0;0
10474;GAMELA MEDIA EM MADEIRA;7898957923021;L306;250;225;0;10764
10482;PICTIONARY SHOW ELETRONICO;746775321659;BGG26;184.8;166.32;0;0
10483;POLLY POLLYVILLE CIDADE GRANDE;746775333140;BGY04;117.7;105.93;0;0
10487;MONSTER HIGH SEM CABEÇA E PESADELO;746775268763;BBK21;159.5;143.55;0;4320
10490;JOGO PARA QUEIJO 5 PCS COM IMÃ;7893220110603;14837;90;81;0;5550
10491;POLLY POLLYVILLE;746775340551;GGC39;100;90;0;3237
10500;BOMBONIERE VIDRO 15.5 CM;7893220216107;21965;37.78;34;0;5550
10502;MORINGA SUPER MAE;7899061050726;4823;42.78;38.5;0;5190
10503;BOMBONIERE AQUAMARINE 11.5 CM;7893220216947;22078;30;27;0;5550
10505;BOMBONIERE VIDRO 17 CM;7893220202742;21269;39.38;35.44;0;0
10508;BOMBONIERE EM CRISTAL ECOLOGICO 19.5 CM;7893220216961;311402014;70;63;0;0
10509;BOMBONIERE SOGA COM TAMPA;;57101;94.6;85.14;0;0
10510;BOMBONIERE LAZULI;7898435828602;2860/2862;40.59;36.53;0;0
10512;BOMBONIERE VIDRO COM PÉ 26 CM;7893220203183;21313;95;85.5;0;0
10513;FORMA PARA BOLO STARFLON 26 CM COM FUNDO REMOVIVEL;7899701854813;6754;27.78;25;0;218
10514;CENTRO DE MESA BERGAMO;;2530.C;50.49;45.44;0;0
10515;PRATO PARA BOLO COM PE E TAMPA TREVISO;7896432710524;2511.C;128.78;115.9;0;726
10517;ILHA DA CONCHA SEREIA MAGICA;7898486484086;3352;69.19;62.27;0;0
10518;CARIMBE E BRINQUE PRINCESAS;7891219020872;2087;64.9;58.41;0;0
10519;SKATE DA BARBIE COM ACESSORIOS;6923450555866;7619-1;195;175.5;0;3237
10521;COELHINHO MINHA FLOR;7899525606360;0636/12;17.59;15.83;0;0
10522;BABY FAZ XIXI 51 CM;7898395332065;206;88.78;79.9;0;10271
10524;REVISTEIRO MEDIO EM COURO SINTETICO;;735;72.6;65.34;0;0
10525;SACOLA COM 103 BLOCOS;7896744847901;4790;130;117;3;3237
10526;MALU DOUTORA;7898395332515;251;58;52.2;0;0
10528;BONECA BAILARINA GLITTER;7899525647257;4725;70;63;0;4340
10530;CARIMBO PEPPA;7896027545197;10013;10.89;9.8;0;0
10532;APARELHO DE LINHA MAGICA DA BARBIE;4893825019779;BBLH 11;126.5;113.85;0;0
10533;EU SOU?;7896027540871;;85;76.5;0;655
10534;HULK DE PELUCIA;7899525625071;2507;91.85;82.67;0;4340
10535;HOMEM DE FERRO DE PELUCIA;7899525625101;2510;91.85;82.67;0;0
10536;MINI BOLITA;7896965253765;5376;40;36;0;0
10537;BONECO BUZZ;7891219024801;2480;66;59.4;0;16
10538;BUQUE DE ROSA OUTONO 33 CM;7893979269492;17976-008;11.55;10.4;0;0
10539;BONECO BATMAN GIGANTE;7899091480920;8092;220;198;0;0
10541;CARRIOLA COM PA E RASTEL;7898213985480;548;125;112.5;0;0
10543;CASA CUPCAKE;7896027545258;;94.6;85.14;0;0
10545;OFICINA DO LUIGI MALETA CARROS;7896640418533;1853.2;193.6;174.24;0;0
10546;TELEFONE GRAVADOR;7896027545470;13011;93.5;84.15;0;0
10547;CACHORRINHO HUSKY;7899525628577;2857;82;73.8;0;4340
10549;KIT HAMBURGER;746775380717;BMG47;70.4;63.36;0;0
10551;URSO CHARLES GG;7898513494033;9403;180;162;0;4340
10552;URSINHO BEIJINHO;7899525633502;3350;68.78;61.9;0;4340
10553;BONECA ANINHA M;7898480113043;1304/1303.;68.2;61.38;0;0
10554;BONECO FLASH;;2203;110;99;0;13288
10555;ANNE CANTE COMIGO;7898395332041;204;77.78;70;0;10271
10556;ROBO TRANSFORMAVEL MITSUBISHI/TOYOTA;7899525627587;2758;72.59;65.33;0;0
10558;BIA GOURMET;7898395332546;254;59.78;53.8;0;0
10559;BONECO LUCAS;7899525606711;671;74.8;67.32;0;0
10560;VIRE A MESA;7896027544589;;71.39;64.25;0;0
10561;CARRINHO DE MAO COMPLETO  RUEDITA;7898213985473;547;155;139.5;0;0
30286;CARRINHO DE SORVETE;7896750404686;468;140;126;0;130
10562;DINOSSAURO PREDASAURS BATTLE SET;7896027545326;130175;53.9;48.51;0;0
10565;PINYPON BASICA;7898506470969;BR186;26.4;23.76;0;0
10567;QUEBRA CABEÇA 2000 PÇS RAMSAU;7891219028748;2874;123.2;110.88;0;0
10570;KIT 2 CANECAS PAI + CAIXA MDF;;17751;110;99;1;0
10572;QUEBRA CABEÇA DE MADEIRA DA PEPPA;7896027545906;;44;39.6;0;655
10579;AVIÃO DUSTY;7891219030239;3023;68.86;61.97;0;0
10580;BRINCANDO DE ENGENHEIRO 53 PÇS EM MADEIRA;7896640452766;5276.5;27.78;25;0;172
10581;BRINCANDO DE ENGENHEIRO 73 PÇS EM MADEIRA;7896640452773;5277.6;27.78;25;0;172
10591;BUQUE DE ROSAS LARANJA CRAQUEADO 28 CM;7893979361912;117100;8.36;7.52;0;0
10595;JOGO DE  CAFE;7896838805619;561;35.2;31.68;0;0
10597;ALMOFADA AMIGAS MENINAS;;2390;47.3;42.57;0;0
10604;TAPETE EM EVA FIGURAS BABY 9 PÇS;7896200708128;811;94.49;85.04;0;0
10606;BULE PARA CHÁ VITÓRIA  DEC. 0397;7891259579385;0006-0;150;135;0;0
10607;UM A UM ACADEMIA DA MENTE;7896027544794;;87.78;79;0;655
10609;LAVANDA COM 5 FLORES;7893979300645;20384-001;5.78;5.2;0;0
10611;CHAVEIRO PROFISSÕES;;16064;9.89;8.9;3;0
10612;BUXUS TOPIARA COM POTE 44 CM;7893979248473;67;82.5;74.25;0;0
10615;SUPER CABANA DA CABANA DA FLORESTA;7897858317205;720;59.07;53.16;0;0
10619;CABIDE PNO PICCOLINO KIT COM 6;7896553962086;20720/3007;37.78;34;5;194
10622;MAX CAÇAMBÃO;7896750403078;307;235;211.5;0;130
10623;CAÇAROLA 16 CM  ALLEGRA;7891116061459;62654/160;195;175.5;0;87
10625;CAÇAROLA COM TAMPA DE PORCELANA;7893220128837;;149.16;134.24;0;0
10627;PANELA 14 CM VERMELHO 1600  ML;7894002183242;C82161419;141.9;127.71;0;0
10632;PORTA CANUDO PEPSI;7893220152108;17807;33.2;29.88;0;5550
10633;LEVA BLOCOS 60 PÇS;7896744847604;4760;95;85.5;0;3237
10634;CAÇAROLA FUNDA  28 CM SOLAR;7891116001462;62504/280;269.7;242.73;0;87
17776;FALA NENEN INTERATIVA;7897547706204;620;111;99.9;0;4980
10638;CAÇAROLA RASA 16 CM SOLAR;7891116000748;62503/160;133;119.7;0;87
10639;CAÇAROLA RASA 20 CM SOLAR;7891116001264;62503/200;230;207;0;87
10641;GALHO DE EUCALIPTO CREME 49 CM;7893979304612;41958/017;47.78;43;4;13952
19805;LEGO DUPLO 2 A 5 ANOS CIRCO;5702014973299;10504;258.5;232.65;0;0
10645;BUMBO PEPPA;7896448189802;898;56.1;50.49;0;159
10646;SUPER VAN RESGATE;7896965216227;1622;50;45;0;0
10647;CACHORRO DÁLMATA;7898179821105;850;27.78;25;0;38
10651;ANALU SORINHO;7897547706006;600;59.89;53.9;0;4980
10656;CAMERA DIGITAL;7896027545463;13011;91.3;82.17;0;0
10657;NECESSARIA PRETA PORTA ESCOVA E CREME DENTAL;7896553936766;13059/0008;14.85;13.37;0;0
10674;CAFETEIRA POMERODE BRANCA;7891259019041;19;130;117;0;0
10676;CAFETEIRA ITALIANA ALUMINIO P 6 XICARAS;;13433;58.85;52.97;0;0
10677;CAFETEIRA LINHA VITÓRIA DEC. 0397;7891259579392;2009-4;110;99;0;0
10679;CAI NAO CAI;7896027524093;16.70.93;100;90;0;655
10682;UTENSILIO DE BAMBOO 3 PÇS;7896403749072;10239/412;44.4;39.96;0;4869
10683;COOLER COMPACTO 16 L COM 2 PORTA LATA NA TAMPA;;145;97.9;88.11;0;228
10689;CAIXA TÉRMICA 26.5 LITROS AZUL;7891691087288;8728;174.9;157.41;0;0
10693;CAIXA-ENCAIXA COLEÇÃO PIM PAM PUM;7896027534498;;144;129.6;3;655
10700;CALCULADORA CONFETE;;KK-402;20.9;18.81;0;0
